date,load_daily,temp_daily,rh_daily
2005-01-01,3107.625,53.56547619047619,76.70982142857143
2005-01-02,3068.2916666666665,53.757440476190474,80.47916666666667
2005-01-03,3061.2916666666665,55.913690476190474,81.22916666666667
2005-01-04,2565.7083333333335,61.694940476190474,74.8422619047619
2005-01-05,2495.7083333333335,60.430059523809526,76.06696428571429
2005-01-06,2734.9166666666665,62.004464285714285,77.99107142857143
2005-01-07,3179.6666666666665,55.85565476190476,71.66666666666667
2005-01-08,3360.7083333333335,57.660714285714285,81.80357142857143
2005-01-09,3763.9583333333335,47.623511904761905,72.72470238095238
2005-01-10,3559.2083333333335,49.299107142857146,81.14434523809524
2005-01-11,3405.6666666666665,50.857142857142854,81.80059523809524
2005-01-12,3157,57.95386904761905,82.61755952380952
2005-01-13,2517.625,65.89880952380952,81.73809523809524
2005-01-14,3211.75,52.933035714285715,72.5610119047619
2005-01-15,4809.708333333333,38.546130952380956,60.65327380952381
2005-01-16,4614.291666666667,37.294642857142854,68.55654761904762
2005-01-17,6012,28.886904761904763,45.76190476190476
2005-01-18,6657.291666666667,22.729166666666668,40.552083333333336
2005-01-19,6632.708333333333,25.944940476190474,59.00297619047619
2005-01-20,4971.916666666667,35.882440476190474,63.36309523809524
2005-01-21,5493,34.62797619047619,78.91071428571428
2005-01-22,6091.375,33.42857142857143,80.94642857142857
2005-01-23,7114.625,24.84077380952381,50.46577380952381
2005-01-24,6540.333333333333,28.020833333333332,43.84970238095238
2005-01-25,4519.416666666667,38.736607142857146,48.416666666666664
2005-01-26,3900.2083333333335,47.706845238095234,63.55952380952381
2005-01-27,4427,37.09672619047619,51.26190476190476
2005-01-28,5896.083333333333,26.93452380952381,42.555059523809526
2005-01-29,6352.708333333333,29.980654761904763,70.32886904761905
2005-01-30,4892.333333333333,36.498511904761905,86.13690476190476
2005-01-31,4760.958333333333,37.41964285714286,66.02529761904762
2005-02-01,5161.416666666667,36.51636904761905,71.76488095238095
2005-02-02,5136.416666666667,36.67857142857143,70.42261904761905
2005-02-03,5056,36.336309523809526,88.61755952380952
2005-02-04,4143.291666666667,40.430059523809526,71.7202380952381
2005-02-05,4134.666666666667,44.501488095238095,55.25595238095238
2005-02-06,4083.6666666666665,45.305059523809526,53.086309523809526
2005-02-07,3553,45.93452380952381,59.36607142857143
2005-02-08,2946.4583333333335,51.979166666666664,63.72767857142857
2005-02-09,3099.2916666666665,55.052083333333336,79.84672619047619
2005-02-10,3925.375,46.214285714285715,57.13095238095238
2005-02-11,4787.291666666667,36.345238095238095,42.67559523809524
2005-02-12,4095.0833333333335,43.24107142857143,47.93452380952381
2005-02-13,3799.3333333333335,47.322916666666664,59.78720238095238
2005-02-14,3388.7916666666665,51.083333333333336,84.5639880952381
2005-02-15,3171.2916666666665,52.73363095238095,78.33482142857143
2005-02-16,2996.3333333333335,56.200892857142854,77.39880952380952
2005-02-17,3977.7083333333335,44.419642857142854,48.68452380952381
2005-02-18,4472.625,37.370535714285715,44.947916666666664
2005-02-19,4600.875,39.486607142857146,52.547619047619044
2005-02-20,4317.625,43.66517857142857,68.42857142857143
2005-02-21,3622.7083333333335,52.007440476190474,85.02529761904762
2005-02-22,3038.0833333333335,52.60565476190476,76.95833333333333
