date,load
2011-07-01,3515.241508427691
2011-07-02,3677.888634443138
2011-07-03,3714.2792724341275
2011-07-04,3604.80730719707
2011-07-05,3560.307218390303
2011-07-06,3552.6866008069424
2011-07-07,3542.1866330305756
2011-07-08,3515.3426506450364
2011-07-09,3677.987684875675
2011-07-10,3714.3762743433526
2011-07-11,3604.902302949762
2011-07-12,3560.4002494770275
2011-07-13,3552.7777078601716
2011-07-14,3542.2758558424375
2011-07-15,3515.4300281846936
2011-07-16,3678.073255306344
2011-07-17,3714.460075038973
2011-07-18,3604.9843705113203
2011-07-19,3560.480619748542
2011-07-20,3552.856415944348
2011-07-21,3542.3529361160013
2011-07-22,3515.5055143134036
2011-07-23,3678.147180259697
2011-07-24,3714.532471104603
2011-07-25,3605.0552693091004
2011-07-26,3560.5500522443954
2011-07-27,3552.9244124637735
2011-07-28,3542.4195263573156
2011-07-29,3515.570727360715
2011-07-30,3678.2110445956073
2011-07-31,3714.5950146226473
