date,load
2011-07-01,3504.7124382320776
2011-07-02,3685.925164558232
2011-07-03,3763.502418692037
2011-07-04,3710.3661537403023
2011-07-05,3692.5905677108913
2011-07-06,3709.5241685866245
2011-07-07,3689.805242441751
2011-07-08,3712.1272301919666
2011-07-09,3805.230493129378
2011-07-10,3843.1739173720357
2011-07-11,3797.739595437823
2011-07-12,3778.6194628515327
2011-07-13,3781.3844509679752
2011-07-14,3762.050410080277
2011-07-15,3761.589602054943
2011-07-16,3876.5333790382897
2011-07-17,3917.1255978993054
2011-07-18,3854.64889649452
2011-07-19,3830.5719552364494
2011-07-20,3843.999417550854
2011-07-21,3836.3378529982056
2011-07-22,3840.136159291607
2011-07-23,3949.649473947156
2011-07-24,3988.2126053056013
2011-07-25,3927.0277737571523
2011-07-26,3903.245472234197
2011-07-27,3915.6414004988833
2011-07-28,3907.7004646377786
2011-07-29,3910.2438163522716
2011-07-30,4021.2886456361107
2011-07-31,4060.2142732075185
