date,load
2011-07-01,3501.7718917222287
2011-07-02,3642.7419430781897
2011-07-03,3724.2856828229565
2011-07-04,3697.6593499675673
2011-07-05,3673.3164791037016
2011-07-06,3679.64891010621
2011-07-07,3670.256397369895
2011-07-08,3670.0964586912305
2011-07-09,3710.931404199949
2011-07-10,3724.9327458363114
2011-07-11,3687.0896066059795
2011-07-12,3666.903404696434
2011-07-13,3671.0670312354937
2011-07-14,3655.0960367053945
2011-07-15,3655.3701090266695
2011-07-16,3699.86053219222
2011-07-17,3715.944125509573
2011-07-18,3678.2956410674833
2011-07-19,3658.034321140721
2011-07-20,3662.5379404910836
2011-07-21,3647.1327377181574
2011-07-22,3647.6389201960724
2011-07-23,3692.1910310293474
2011-07-24,3708.3897756727033
2011-07-25,3670.9329394294014
2011-07-26,3650.87147258716
2011-07-27,3655.553042428666
2011-07-28,3640.3116408509304
2011-07-29,3640.991880537966
2011-07-30,3685.7208106428857
2011-07-31,3702.0892235592987
