date,load
2011-07-01,3547.6452061448845
2011-07-02,3744.8612706212716
2011-07-03,3811.6102564111875
2011-07-04,3737.39402020674
2011-07-05,3725.2262485648007
2011-07-06,3749.929891961125
2011-07-07,3773.540020330197
2011-07-08,3779.1017753211377
2011-07-09,3976.317839797525
2011-07-10,4043.0668255874407
2011-07-11,3968.8505893829933
2011-07-12,3956.6828177410544
2011-07-13,3981.3864611373783
2011-07-14,4004.9965895064506
2011-07-15,4010.558344497391
2011-07-16,4207.774408973778
2011-07-17,4274.523394763694
2011-07-18,4200.307158559247
2011-07-19,4188.139386917308
2011-07-20,4212.843030313632
2011-07-21,4236.453158682703
2011-07-22,4242.0149136736445
2011-07-23,4439.230978150032
2011-07-24,4505.979963939948
2011-07-25,4431.763727735501
2011-07-26,4419.595956093561
2011-07-27,4444.299599489886
2011-07-28,4467.909727858957
2011-07-29,4473.471482849898
2011-07-30,4670.687547326284
2011-07-31,4737.436533116201
